question_en,question_hi,question_mr,intent,answer_en,answer_hi,answer_mr
Is there admission dates for students?,क्या वहाँ है प्रवेश तिथियाँ for students?,आहे का प्रवेश तारखा for students?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Where can I download timetable for this year?,कहाँ मैं टाइमटेबल डाउनलोड for this year?,मी कुठे वेळापत्रक डाउनलोड for this year?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Can I admission portal?,क्या मैं प्रवेश पोर्टल?,मी करू शकतो का प्रवेश पोर्टल?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Where can I grade card please?,कहाँ मैं ग्रेड कार्ड please?,मी कुठे ग्रेड कार्ड please?,results,Results are published on the official college website and student portal.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Show me tuition fees for students?,मुझे दिखाइए शिक्षण शुल्क for students?,मला दाखवा शिक्षण फी for students?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Do you have admit card please?,क्या आपके पास है एडमिट कार्ड please?,तुमच्याकडे आहे का एडमिट कार्ड please?,exam,The exam schedule is released before each semester. Look at the academic calendar.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
What is admission fees?,क्या है प्रवेश शुल्क?,काय आहे प्रवेश फी?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Can I admit card?,क्या मैं एडमिट कार्ड?,मी करू शकतो का एडमिट कार्ड?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Tell me pass percentage?,बताइए पास प्रतिशत?,मला सांगू पास टक्केवारी?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Where can I admission portal for students?,कहाँ मैं प्रवेश पोर्टल for students?,मी कुठे प्रवेश पोर्टल for students?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Is there fee deadline for this year?,क्या वहाँ है फीस की अंतिम तिथि for this year?,आहे का फीची अंतिम तारीख for this year?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Who handles lab timetable for this year?,कौन संभालता है प्रयोगशाळा समय सारणी for this year?,कोण सांभाळतो लॅब वेळापत्रक for this year?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Who handles revaluation process for this year?,कौन संभालता है पुनर्मूल्यांकन प्रक्रिया for this year?,कोण सांभाळतो पुनर्मूल्यांकन प्रक्रिया for this year?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Who handles fee structure?,कौन संभालता है फीस संरचना?,कोण सांभाळतो फी संरचना?,fees,Fees can be paid online via the portal or at the accounts office.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
How to exam timetable for students?,कैसे परीक्षा समय सारणी for students?,कसे परीक्षा वेळापत्रक for students?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Where can I fee concession?,कहाँ मैं फीस रियायती?,मी कुठे फी सवलत?,fees,Fees can be paid online via the portal or at the accounts office.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Show me exam registration please?,मुझे दिखाइए परीक्षा पंजीकरण please?,मला दाखवा परीक्षा नोंदणी please?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Can I admission portal please?,क्या मैं प्रवेश पोर्टल please?,मी करू शकतो का प्रवेश पोर्टल please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Can I lab timetable?,क्या मैं प्रयोगशाळा समय सारणी?,मी करू शकतो का लॅब वेळापत्रक?,timetable,The timetable is available in the student portal under the timetable section.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Is there class timetable please?,क्या वहाँ है क्लास टाइमटेबल please?,आहे का क्लास वेळापत्रक please?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
When are show timetable for this year?,कब हैं समय सारणी दिखाओ for this year?,केव्हा आहेत वेळापत्रक दाखवा for this year?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Do you have exam pattern?,क्या आपके पास है परीक्षा पैटर्न?,तुमच्याकडे आहे का परीक्षा नमुना?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
